units_sold,discount_applied,revenue,clicks,impressions,conversion_rate,category,region,ad_ctr,ad_cpc,ad_spend,transaction_date_update
137,0.07,299.17,30,317,0.09,Toys,Europe,0.1011,1.12,113.23,Oct-2024
125,0.04,1148.03,41,35,1.17,Home Appliances,Europe,0.0136,0.29,3.94,Apr-2024
146,0.04,80.04,18,383,0.05,Home Appliances,North America,0.1967,1.84,361.93,May-2024
129,0.04,876.58,26,83,0.31,Electronics,Asia,0.0732,0.73,53.44,Feb-2024
166,0.29,16.68,38,459,0.08,Electronics,North America,0.0445,0.76,33.82,May-2024
143,0.08,1167.37,41,340,0.12,Books,North America,0.1127,1.71,192.72,May-2024
139,0.25,44.56,31,173,0.18,Books,North America,0.1319,1.02,134.54,Jun-2024
154,0.15,140.39,44,333,0.13,Clothing,North America,0.1037,1.6,165.92,Jun-2024
123,0.12,222.44,27,198,0.14,Toys,Asia,0.1532,1.4,214.48,May-2024
113,0.22,384.56,48,259,0.19,Home Appliances,Asia,0.0267,1.72,45.92,Oct-2024
161,0.06,739.35,4,187,0.02,Toys,North America,0.1467,1.11,162.84,Mar-2024
340,0.09,1859.4,47,396,0.12,Home Appliances,Asia,0.1445,1.62,234.09,Nov-2024
141,0.24,311.54,14,250,0.06,Electronics,Europe,0.1124,1.11,124.76,Feb-2024
145,0.11,630.4,30,218,0.14,Electronics,Europe,0.1451,1.29,187.18,Apr-2024
133,0.21,461.52,39,497,0.08,Clothing,Europe,0.0726,0.75,54.45,Nov-2024
148,0.28,220.75,5,278,0.02,Home Appliances,North America,0.1311,1.42,186.16,Jan-2024
132,0.17,1573.68,14,318,0.04,Electronics,Asia,0.0483,1.93,93.22,Dec-2023
141,0.12,176.4,13,276,0.05,Books,North America,0.0287,0.5,14.35,Jul-2024
110,0.24,141.11,37,69,0.54,Books,Asia,0.1693,1.11,187.92,Dec-2024
146,0.28,1301.7,0,443,0.0,Electronics,Europe,0.1095,1.98,216.81,Apr-2024
124,0.2,118.3,21,307,0.07,Toys,Asia,0.1846,1.16,214.14,Apr-2024
113,0.18,182.11,30,63,0.48,Home Appliances,Asia,0.0401,1.54,61.75,Dec-2024
132,0.15,789.48,39,382,0.1,Electronics,Asia,0.1671,0.4,66.84,Oct-2024
151,0.02,1786.7,0,281,0.0,Home Appliances,North America,0.0883,1.74,153.64,Oct-2024
124,0.12,382.39,27,398,0.07,Toys,Asia,0.114,1.32,150.48,Dec-2024
131,0.09,880.17,24,245,0.1,Clothing,Europe,0.0231,1.94,44.81,Dec-2023
132,0.24,200.98,29,130,0.22,Electronics,Asia,0.0498,1.56,77.69,Apr-2024
173,0.17,62.32,35,454,0.08,Electronics,North America,0.0639,0.24,15.34,Mar-2024
130,0.05,94.18,41,194,0.21,Electronics,Asia,0.1865,0.3,55.95,Feb-2024
109,0.18,332.92,14,68,0.21,Books,Asia,0.1885,1.66,312.91,Feb-2024
121,0.11,203.29,29,443,0.07,Clothing,Asia,0.0359,0.2,7.18,Feb-2024
129,0.16,1570.09,46,259,0.18,Home Appliances,Europe,0.1508,1.9,286.52,Jul-2024
130,0.13,311.84,9,424,0.02,Electronics,Asia,0.1045,0.79,82.56,Jun-2024
160,0.19,688.76,10,425,0.02,Clothing,North America,0.1615,0.76,122.74,Oct-2024
122,0.16,597.82,47,479,0.1,Books,Europe,0.0469,1.73,81.14,Mar-2024
123,0.01,470.01,26,102,0.25,Clothing,Asia,0.1683,0.15,25.24,Nov-2024
164,0.03,261.76,13,474,0.03,Toys,North America,0.0422,0.71,29.96,Aug-2024
123,0.22,301.45,3,122,0.02,Clothing,Asia,0.1555,1.43,222.36,Aug-2024
122,0.17,124.77,27,197,0.14,Clothing,Asia,0.1766,1.44,254.3,Jan-2024
118,0.16,1467.58,4,466,0.01,Home Appliances,Asia,0.1748,0.19,33.21,Jul-2024
111,0.28,570.79,4,329,0.01,Books,Asia,0.017,1.23,20.91,Oct-2024
136,0.21,552.87,2,247,0.01,Clothing,Europe,0.0295,1.86,54.87,Oct-2024
151,0.19,234.95,49,336,0.15,Home Appliances,North America,0.0865,1.12,96.88,Sep-2024
158,0.22,114.24,34,156,0.22,Clothing,North America,0.0607,1.06,64.34,Nov-2024
127,0.18,73.46,28,313,0.09,Home Appliances,Europe,0.1302,1.33,173.17,Apr-2024
129,0.1,665.58,43,71,0.61,Home Appliances,Europe,0.013,1.02,13.26,Oct-2024
127,0.29,70.28,11,399,0.03,Toys,Asia,0.0757,0.22,16.65,Nov-2024
158,0.14,641.92,10,26,0.38,Clothing,North America,0.1971,1.64,323.24,Mar-2024
150,0.13,126.46,14,78,0.18,Electronics,Europe,0.1944,0.81,157.46,Mar-2024
146,0.04,83.87,29,344,0.08,Books,North America,0.1211,0.84,101.72,Sep-2024
122,0.23,361.38,36,20,1.8,Books,Europe,0.0319,1.45,46.26,Nov-2024
130,0.23,1010.05,33,164,0.2,Home Appliances,Europe,0.0437,0.12,5.24,Jun-2024
116,0.03,12.58,15,191,0.08,Home Appliances,Asia,0.1805,1.88,339.34,Jul-2024
125,0.09,1357.17,26,133,0.2,Books,Europe,0.0495,1.78,88.11,Nov-2024
134,0.26,402.23,18,233,0.08,Electronics,Asia,0.1111,0.84,93.32,Feb-2024
113,0.0,1446.72,48,281,0.17,Books,Asia,0.0315,1.46,45.99,Mar-2024
142,0.14,860.35,47,366,0.13,Toys,Europe,0.1556,0.28,43.57,Jun-2024
163,0.04,587.56,30,271,0.11,Clothing,North America,0.1877,1.1,206.47,Jan-2024
113,0.28,265.59,24,25,0.96,Books,Asia,0.0536,1.44,77.18,Mar-2024
131,0.22,346.3,32,273,0.12,Toys,Asia,0.1562,0.37,57.79,Feb-2024
129,0.25,113.65,36,154,0.23,Home Appliances,Europe,0.1083,0.52,56.32,Feb-2024
135,0.19,790.67,28,289,0.1,Electronics,Asia,0.0827,0.95,78.56,Dec-2023
150,0.13,1113.4,8,89,0.09,Electronics,Europe,0.1546,0.62,95.85,Apr-2024
123,0.09,439.02,6,17,0.35,Clothing,Asia,0.0554,1.4,77.56,Oct-2024
131,0.16,564.45,2,243,0.01,Home Appliances,Europe,0.0145,1.46,21.17,Nov-2024
117,0.18,267.22,31,159,0.19,Home Appliances,Asia,0.1891,0.76,143.72,Feb-2024
131,0.08,183.13,15,229,0.07,Home Appliances,Europe,0.136,1.73,235.28,Oct-2024
124,0.08,547.46,11,357,0.03,Clothing,Asia,0.1056,0.7,73.92,Sep-2024
152,0.08,246.88,48,161,0.3,Home Appliances,North America,0.1256,0.36,45.22,Aug-2024
114,0.14,70.98,14,388,0.04,Books,Asia,0.1657,1.11,183.93,Mar-2024
168,0.06,327.21,28,273,0.1,Toys,North America,0.0339,0.75,25.42,Dec-2023
455,0.12,3066.31,21,119,0.18,Electronics,Europe,0.1075,1.5,161.25,Nov-2024
114,0.25,910.82,25,88,0.28,Books,Asia,0.0682,0.93,63.43,Aug-2024
137,0.27,929.79,18,418,0.04,Clothing,Europe,0.058,1.1,63.8,Nov-2024
149,0.16,327.42,5,421,0.01,Electronics,Europe,0.1717,1.16,199.17,Apr-2024
128,0.02,128.51,37,96,0.39,Toys,Asia,0.0901,1.28,115.33,Dec-2024
147,0.09,404.18,32,264,0.12,Electronics,Europe,0.0637,0.43,27.39,Aug-2024
125,0.03,810.0,23,11,2.09,Clothing,Asia,0.1556,0.33,51.35,May-2024
125,0.11,175.37,34,241,0.14,Clothing,Asia,0.0526,1.1,57.86,Oct-2024
158,0.22,1062.52,39,369,0.11,Home Appliances,North America,0.0597,1.73,103.28,Feb-2024
126,0.04,1008.14,32,266,0.12,Books,Europe,0.1474,1.18,173.93,Jul-2024
146,0.28,43.25,27,364,0.07,Books,North America,0.1356,1.59,215.6,Nov-2024
132,0.12,901.48,37,103,0.36,Toys,Asia,0.1953,1.28,249.98,Jul-2024
138,0.08,506.9,1,103,0.01,Electronics,Asia,0.0522,1.01,52.72,Jul-2024
136,0.01,411.47,23,210,0.11,Clothing,Europe,0.0675,1.17,78.98,Nov-2024
118,0.08,11.02,38,198,0.19,Home Appliances,Asia,0.135,0.16,21.6,Aug-2024
151,0.19,248.44,7,381,0.02,Electronics,Europe,0.1929,0.35,67.51,Oct-2024
129,0.25,352.36,30,288,0.1,Toys,Asia,0.142,0.58,82.36,Jul-2024
121,0.22,441.32,12,124,0.1,Home Appliances,Asia,0.0155,0.49,7.6,May-2024
145,0.07,894.51,15,61,0.25,Toys,Europe,0.0103,1.52,15.66,May-2024
127,0.04,895.88,37,10,3.7,Books,Europe,0.0447,0.41,18.33,Aug-2024
117,0.28,1392.28,38,355,0.11,Books,Asia,0.1511,1.8,271.98,Aug-2024
125,0.05,188.7,36,450,0.08,Books,Europe,0.1828,0.98,179.14,Dec-2023
117,0.09,1023.64,41,305,0.13,Books,Asia,0.1697,1.83,310.55,Nov-2024
127,0.02,934.21,48,245,0.2,Clothing,Asia,0.0893,1.22,108.95,Mar-2024
134,0.05,177.27,1,184,0.01,Toys,Asia,0.1214,0.34,41.28,Nov-2024
139,0.15,47.76,16,295,0.05,Electronics,Asia,0.1401,1.14,159.71,Dec-2023
116,0.2,1083.74,16,428,0.04,Books,Asia,0.0357,0.64,22.85,May-2024
141,0.25,298.44,43,12,3.58,Electronics,Asia,0.1262,0.65,82.03,Dec-2024
167,0.16,1141.23,15,373,0.04,Clothing,North America,0.0915,1.4,128.1,Jul-2024
159,0.16,110.43,20,348,0.06,Home Appliances,North America,0.03,1.38,41.4,Jun-2024
167,0.04,768.7,42,223,0.19,Clothing,North America,0.1775,0.62,110.05,Feb-2024
132,0.22,278.6,28,356,0.08,Home Appliances,Europe,0.161,1.28,206.08,Feb-2024
141,0.01,1145.15,31,245,0.13,Electronics,Asia,0.0782,1.76,137.63,Oct-2024
120,0.29,167.25,36,67,0.54,Home Appliances,Asia,0.1585,0.74,117.29,Nov-2024
161,0.08,634.28,44,485,0.09,Home Appliances,North America,0.1306,0.11,14.37,Aug-2024
164,0.08,451.2,7,131,0.05,Clothing,North America,0.0729,1.87,136.32,Sep-2024
149,0.08,355.45,19,330,0.06,Books,North America,0.0593,0.8,47.44,Jan-2024
142,0.25,70.5,3,373,0.01,Electronics,Asia,0.0102,1.26,12.85,Sep-2024
135,0.24,660.63,42,205,0.2,Toys,Asia,0.1225,0.54,66.15,Mar-2024
161,0.21,1106.67,42,188,0.22,Home Appliances,North America,0.1136,0.32,36.35,Oct-2024
139,0.22,152.44,38,339,0.11,Electronics,Asia,0.0443,0.18,7.97,Aug-2024
150,0.12,256.54,35,138,0.25,Toys,Europe,0.0135,0.46,6.21,Dec-2023
129,0.2,803.81,45,408,0.11,Books,Europe,0.1858,0.66,122.63,Jan-2024
154,0.23,214.26,25,221,0.11,Electronics,Europe,0.0462,0.7,32.34,May-2024
127,0.21,104.0,18,262,0.07,Clothing,Asia,0.0264,1.66,43.82,Jul-2024
118,0.18,388.78,48,285,0.17,Books,Asia,0.0667,1.13,75.37,Jul-2024
136,0.05,1101.05,41,319,0.13,Toys,Asia,0.1559,0.12,18.71,Aug-2024
138,0.23,1400.97,22,456,0.05,Home Appliances,Europe,0.0752,1.1,82.72,May-2024
185,0.3,321.66,0,13,0.0,Electronics,North America,0.0478,1.85,88.43,Apr-2024
158,0.13,1094.6,13,457,0.03,Electronics,Europe,0.0457,0.35,16.0,Apr-2024
120,0.24,424.02,15,112,0.13,Books,Asia,0.0667,0.99,66.03,May-2024
142,0.09,125.91,29,341,0.09,Electronics,Asia,0.1499,0.78,116.92,Apr-2024
161,0.27,257.87,49,493,0.1,Home Appliances,North America,0.0783,0.71,55.59,Sep-2024
179,0.1,1008.65,27,196,0.14,Toys,North America,0.1387,0.23,31.9,Jul-2024
141,0.13,623.69,40,295,0.14,Electronics,Asia,0.1825,0.66,120.45,May-2024
132,0.3,643.94,5,383,0.01,Clothing,Asia,0.0665,0.67,44.56,Mar-2024
184,0.21,631.81,48,428,0.11,Electronics,North America,0.1285,0.4,51.4,Sep-2024
148,0.21,183.13,43,479,0.09,Toys,Europe,0.1625,0.55,89.38,Apr-2024
148,0.08,455.0,7,253,0.03,Toys,Europe,0.0218,0.3,6.54,Jun-2024
120,0.29,843.08,41,445,0.09,Books,Asia,0.11,1.72,189.2,Sep-2024
118,0.17,555.97,16,493,0.03,Books,Asia,0.055,1.63,89.65,Jun-2024
185,0.28,924.76,35,482,0.07,Electronics,North America,0.1702,0.2,34.04,Dec-2023
138,0.27,1019.58,27,177,0.15,Toys,Asia,0.0901,1.68,151.37,Jan-2024
154,0.15,280.58,27,206,0.13,Electronics,Europe,0.1738,0.19,33.02,Apr-2024
132,0.07,729.23,9,302,0.03,Books,Europe,0.1872,0.32,59.9,Jan-2024
124,0.1,813.75,48,454,0.11,Home Appliances,Asia,0.0482,0.72,34.7,Feb-2024
162,0.27,164.89,21,16,1.31,Home Appliances,North America,0.1657,0.72,119.3,May-2024
162,0.26,648.34,20,299,0.07,Home Appliances,North America,0.1834,0.89,163.23,Jul-2024
135,0.22,235.32,8,462,0.02,Toys,Asia,0.0471,1.69,79.6,Sep-2024
132,0.11,750.86,18,190,0.09,Books,Europe,0.096,0.43,41.28,Jun-2024
179,0.0,1442.76,48,230,0.21,Toys,North America,0.0896,0.94,84.22,Mar-2024
139,0.01,358.22,0,26,0.0,Toys,Asia,0.1292,1.14,147.29,May-2024
119,0.03,584.44,20,131,0.15,Books,Asia,0.0232,0.93,21.58,Jan-2024
168,0.24,272.0,25,428,0.06,Clothing,North America,0.13,0.66,85.8,Feb-2024
139,0.01,418.33,4,413,0.01,Toys,Asia,0.1484,0.51,75.68,Aug-2024
171,0.06,812.27,15,30,0.5,Clothing,North America,0.1923,0.3,57.69,Sep-2024
136,0.29,264.95,30,467,0.06,Home Appliances,Europe,0.1609,0.37,59.53,Sep-2024
158,0.19,691.61,34,243,0.14,Books,North America,0.0931,0.97,90.31,Jul-2024
146,0.28,692.32,14,382,0.04,Clothing,Europe,0.1519,0.65,98.74,May-2024
158,0.19,572.09,29,302,0.1,Electronics,Europe,0.0708,0.44,31.15,Jul-2024
130,0.07,102.48,12,80,0.15,Books,Europe,0.0286,1.3,37.18,Apr-2024
163,0.15,564.04,13,196,0.07,Home Appliances,North America,0.0476,1.26,59.98,Jan-2024
137,0.03,227.53,11,197,0.06,Home Appliances,Europe,0.1717,1.95,334.82,Apr-2024
133,0.05,229.6,41,397,0.1,Clothing,Asia,0.1402,1.69,236.94,Apr-2024
134,0.3,1188.77,0,488,0.0,Clothing,Asia,0.0409,1.88,76.89,Apr-2024
154,0.05,849.68,39,80,0.49,Toys,Europe,0.0481,0.95,45.69,Aug-2024
171,0.14,314.98,27,381,0.07,Clothing,North America,0.07,1.61,112.7,Jan-2024
121,0.17,85.27,31,444,0.07,Books,Asia,0.1251,0.82,102.58,Jul-2024
127,0.3,601.61,13,123,0.11,Home Appliances,Asia,0.1725,0.89,153.52,Dec-2023
157,0.14,848.67,48,469,0.1,Books,North America,0.1867,0.59,110.15,Jan-2024
159,0.08,1540.26,27,225,0.12,Books,North America,0.0195,0.44,8.58,Jan-2024
140,0.14,438.6,27,75,0.36,Home Appliances,Europe,0.0298,1.9,56.62,Feb-2024
158,0.28,376.9,35,33,1.06,Books,North America,0.1826,1.43,261.12,Aug-2024
159,0.25,65.13,35,167,0.21,Books,North America,0.1623,0.28,45.44,Sep-2024
175,0.29,490.24,1,286,0.0,Clothing,North America,0.1152,0.89,102.53,May-2024
191,0.25,886.8,1,475,0.0,Electronics,North America,0.0638,1.67,106.55,Oct-2024
120,0.22,326.47,44,269,0.16,Books,Asia,0.0938,1.38,129.44,Jun-2024
142,0.05,668.52,7,104,0.07,Home Appliances,Europe,0.1398,0.55,76.89,Nov-2024
190,0.04,774.85,32,126,0.25,Electronics,North America,0.0581,0.46,26.73,Sep-2024
146,0.08,797.14,46,261,0.18,Electronics,Asia,0.1881,1.22,229.48,Aug-2024
148,0.0,1214.55,9,376,0.02,Clothing,Europe,0.0822,1.03,84.67,Apr-2024
148,0.01,421.65,20,162,0.12,Clothing,Europe,0.1214,0.96,116.54,Jan-2024
136,0.17,687.51,45,383,0.12,Clothing,Asia,0.1289,0.45,58.0,Jun-2024
177,0.09,537.41,6,219,0.03,Clothing,North America,0.1344,1.82,244.61,Mar-2024
148,0.23,610.15,33,410,0.08,Electronics,Asia,0.0122,0.17,2.07,Oct-2024
159,0.07,468.86,25,490,0.05,Books,North America,0.1198,0.88,105.42,May-2024
128,0.22,770.8,25,63,0.4,Home Appliances,Asia,0.0288,0.6,17.28,Mar-2024
154,0.16,279.57,46,463,0.1,Toys,Europe,0.0246,0.55,13.53,Aug-2024
135,0.16,631.39,37,194,0.19,Clothing,Asia,0.1812,0.99,179.39,Oct-2024
148,0.28,269.51,9,186,0.05,Electronics,Asia,0.0647,0.92,59.52,Aug-2024
143,0.29,489.5,19,425,0.04,Home Appliances,Europe,0.1337,0.29,38.77,Apr-2024
124,0.03,1009.38,41,491,0.08,Books,Asia,0.1452,1.71,248.29,Nov-2024
175,0.24,1032.54,12,329,0.04,Clothing,North America,0.0291,0.79,22.99,Mar-2024
148,0.24,1301.52,17,332,0.05,Electronics,Asia,0.0707,0.73,51.61,May-2024
140,0.28,411.93,37,114,0.32,Home Appliances,Europe,0.0429,1.25,53.62,Jul-2024
162,0.13,790.52,8,211,0.04,Electronics,Europe,0.0574,1.08,61.99,Oct-2024
157,0.2,340.98,23,305,0.08,Books,North America,0.0535,0.88,47.08,Jan-2024
163,0.14,542.75,37,390,0.09,Electronics,Europe,0.1194,0.49,58.51,Jun-2024
136,0.13,1120.86,10,433,0.02,Books,Europe,0.0181,1.81,32.76,Mar-2024
193,0.11,474.3,44,378,0.12,Electronics,North America,0.0509,1.78,90.6,Nov-2024
170,0.06,1524.15,39,401,0.1,Home Appliances,North America,0.1189,1.91,227.1,Sep-2024
130,0.19,831.47,43,496,0.09,Home Appliances,Asia,0.0307,0.63,19.34,Aug-2024
143,0.03,1275.07,18,237,0.08,Home Appliances,Europe,0.057,0.51,29.07,Jun-2024
150,0.03,767.19,41,193,0.21,Clothing,Europe,0.1158,0.33,38.21,Mar-2024
123,0.14,852.38,0,492,0.0,Books,Asia,0.0456,1.47,67.03,Nov-2024
190,0.29,271.75,19,270,0.07,Electronics,North America,0.0382,0.39,14.9,Apr-2024
163,0.13,792.4,49,200,0.24,Electronics,Europe,0.1734,1.86,322.52,Aug-2024
135,0.22,99.65,33,379,0.09,Books,Europe,0.1212,0.81,98.17,Jun-2024
123,0.27,30.88,49,491,0.1,Books,Asia,0.1072,0.22,23.58,Feb-2024
131,0.05,1017.96,19,258,0.07,Home Appliances,Asia,0.1156,1.47,169.93,Aug-2024
180,0.18,930.34,49,225,0.22,Clothing,North America,0.08,0.1,8.0,Nov-2024
142,0.26,330.93,47,281,0.17,Toys,Asia,0.1641,0.14,22.97,Apr-2024
162,0.05,1101.13,6,229,0.03,Books,North America,0.0251,0.12,3.01,Feb-2024
175,0.12,79.16,27,154,0.18,Clothing,North America,0.0777,1.58,122.77,May-2024
142,0.08,445.26,38,191,0.2,Toys,Asia,0.1121,0.85,95.29,Dec-2024
142,0.15,348.36,11,21,0.52,Toys,Asia,0.1029,1.12,115.25,Mar-2024
148,0.07,456.11,12,34,0.35,Clothing,Europe,0.0727,0.1,7.27,Feb-2024
185,0.06,268.95,37,168,0.22,Toys,North America,0.1245,1.24,154.38,May-2024
167,0.09,1444.79,22,204,0.11,Electronics,Europe,0.1335,1.84,245.64,Nov-2024
145,0.02,1462.8,33,242,0.14,Home Appliances,Europe,0.0981,1.82,178.54,Jul-2024
139,0.11,646.6,18,390,0.05,Clothing,Asia,0.1426,1.38,196.79,Aug-2024
165,0.12,221.21,14,29,0.48,Electronics,Europe,0.1676,1.15,192.74,Apr-2024
153,0.03,1514.87,20,494,0.04,Clothing,Europe,0.1848,1.05,194.04,Feb-2024
196,0.07,74.66,12,437,0.03,Electronics,North America,0.1499,0.22,32.98,Sep-2024
195,0.06,57.21,14,375,0.04,Electronics,North America,0.1531,1.98,303.14,Jun-2024
171,0.01,1446.98,15,13,1.15,Home Appliances,North America,0.0387,0.16,6.19,May-2024
138,0.27,694.71,16,349,0.05,Books,Europe,0.1459,1.44,210.1,Mar-2024
124,0.28,284.28,28,56,0.5,Books,Asia,0.0838,1.44,120.67,Aug-2024
146,0.04,1711.99,7,47,0.15,Home Appliances,Europe,0.091,1.69,153.79,Oct-2024
143,0.06,781.08,4,196,0.02,Toys,Asia,0.0287,1.83,52.52,Jan-2024
181,0.24,893.7,27,275,0.1,Clothing,North America,0.1645,1.93,317.48,Jul-2024
139,0.1,1791.25,30,318,0.09,Clothing,Asia,0.0327,1.56,51.01,Apr-2024
180,0.18,486.24,21,471,0.04,Clothing,North America,0.0969,1.35,130.82,May-2024
138,0.17,1201.28,13,226,0.06,Clothing,Asia,0.0261,0.76,19.84,Aug-2024
170,0.09,859.13,43,276,0.16,Home Appliances,North America,0.0852,1.16,98.83,Oct-2024
130,0.21,65.87,33,367,0.09,Home Appliances,Asia,0.1898,1.04,197.39,Jul-2024
196,0.05,811.77,3,351,0.01,Electronics,North America,0.0376,0.79,29.7,May-2024
165,0.22,959.33,40,217,0.18,Books,North America,0.1193,1.09,130.04,Jul-2024
125,0.25,329.54,23,409,0.06,Books,Asia,0.1107,1.13,125.09,Dec-2023
160,0.21,208.25,15,235,0.06,Toys,Europe,0.1969,1.66,326.85,Jul-2024
125,0.28,230.49,41,169,0.24,Books,Asia,0.0665,1.52,101.08,Dec-2023
126,0.11,705.56,17,167,0.1,Books,Asia,0.1434,1.91,273.89,Aug-2024
180,0.28,180.4,39,349,0.11,Clothing,North America,0.1681,1.75,294.18,May-2024
144,0.08,792.69,48,219,0.22,Toys,Asia,0.0773,1.17,90.44,Aug-2024
127,0.15,130.99,1,157,0.01,Books,Asia,0.1786,0.98,175.03,May-2024
